日期,收盘,开盘,高,低,交易量,涨跌幅
2023-5-17,36.3,36.21,36.36,36.07,147.15K,0.97%
2023-5-16,35.95,36.2,36.2,35.95,95.83K,-1.05%
2023-5-15,36.33,36.38,36.41,36.19,39.13K,0.58%
2023-5-12,36.12,36.4,36.4,35.9,62.08K,-10.04%
2023-5-11,40.15,39.71,40.23,38.98,37.03K,0.40%
2023-5-10,39.99,39.88,40.16,39.8,35.21K,-0.50%
2023-5-9,40.19,40,40.3,39.45,78.98K,0.60%
2023-5-8,39.95,40.28,40.38,39.95,41.44K,0.78%
2023-5-5,39.64,38.8,39.75,38.8,82.43K,3.91%
2023-5-4,38.15,37.95,38.25,37.7,32.72K,2.77%
2023-5-3,37.12,37.16,37.75,37.12,33.31K,0.46%
2023-5-2,36.95,37.14,37.16,36.75,28.33K,-0.54%
2023-5-1,37.15,37.53,37.53,37.02,72.63K,-0.46%
2023-4-28,37.32,36.98,37.45,36.92,35.14K,0.32%
2023-4-27,37.2,37.46,37.47,36.96,51.86K,0.13%
2023-4-26,37.15,37.23,37.39,37,47.76K,0.57%
2023-4-25,36.94,37.38,37.38,36.86,44.39K,-1.36%
2023-4-24,37.45,37.23,37.51,37.19,68.33K,1.63%
2023-4-21,36.85,36.75,36.98,36.39,27.88K,0.14%
2023-4-20,36.8,36.43,37.12,36.2,158.15K,-3.00%
2023-4-19,37.94,37.88,38.14,37.75,61.12K,-0.37%
2023-4-18,38.08,37.89,38.11,37.88,113.32K,1.09%
2023-4-17,37.67,37.3,37.67,37.22,75.87K,-0.69%
2023-4-14,37.93,38.04,38.22,37.78,39.01K,0.21%
2023-4-13,37.85,37.75,38.02,37.53,83.57K,0.64%
2023-4-12,37.61,37.61,37.79,37.52,59.81K,2.45%
2023-4-11,36.71,36.52,36.77,36.52,40.53K,2.00%
2023-4-10,35.99,36.6,36.6,35.71,31.24K,0.25%
2023-4-6,35.9,35.49,36.01,35.49,175.34K,-0.19%
2023-4-5,35.97,36.25,36.25,35.88,42.44K,-2.78%
2023-4-4,37,37.25,37.36,36.88,42.78K,0.93%
2023-4-3,36.66,36.68,36.79,36.5,19.66K,0.49%
2023-3-31,36.48,36.63,36.63,36.41,17.29K,-0.27%
2023-3-30,36.58,36.41,36.6,36.35,42.08K,2.26%
2023-3-29,35.77,35.6,35.81,35.59,29.26K,0.28%
2023-3-28,35.67,35.65,35.86,35.56,40.26K,0.48%
2023-3-27,35.5,35.74,35.74,35.42,36.77K,1.05%
2023-3-24,35.13,34.88,35.17,34.7,32.74K,-0.71%
2023-3-23,35.38,35.59,35.9,35.26,33.30K,0.51%
2023-3-22,35.2,35.36,35.77,35.2,46.35K,0.26%
2023-3-21,35.11,34.95,35.18,34.85,52.17K,2.39%
2023-3-20,34.29,33.9,34.29,33.9,61.61K,1.93%
2023-3-17,33.64,33.5,33.76,33.24,65.62K,-1.12%
2023-3-16,34.02,33.3,34.02,33.29,51.00K,0.95%
2023-3-15,33.7,32.97,33.75,32.96,72.83K,-1.23%
2023-3-14,34.12,33.89,34.18,33.78,27.87K,0.77%
2023-3-13,33.86,33.73,33.97,33.62,42.36K,-1.88%
2023-3-10,34.51,34.59,34.94,34.44,35.51K,-0.72%
2023-3-9,34.76,34.95,35.18,34.7,44.99K,-1.72%
2023-3-8,35.37,35.51,35.73,35.34,208.38K,0.03%
2023-3-7,35.36,36,36,35.33,16.11K,-1.75%
2023-3-6,35.99,36.02,36.12,35.95,39.64K,-0.08%
2023-3-3,36.02,35.91,36.07,35.64,38.23K,2.50%
2023-3-2,35.14,34.76,35.21,34.75,37.03K,-0.34%
2023-3-1,35.26,35.48,35.57,35.19,28.71K,2.47%
2023-2-28,34.41,34.87,34.87,34.39,23.73K,-0.89%
2023-2-27,34.72,34.69,34.88,34.6,52.36K,1.52%
2023-2-24,34.2,34.5,34.6,34.12,24.66K,-3.17%
2023-2-23,35.32,35.2,35.37,35.03,19.23K,1.67%
2023-2-22,34.74,34.84,34.97,34.66,43.62K,-0.77%
2023-2-21,35.01,35.05,35.2,34.89,43.99K,-1.66%
2023-2-17,35.6,35.34,35.67,35.23,29.91K,1.19%
2023-2-16,35.18,35,35.5,34.92,32.48K,-0.71%
2023-2-15,35.43,35.13,35.43,35.07,18.70K,0.80%
2023-2-14,35.15,34.85,35.29,34.77,30.32K,0.69%
2023-2-13,34.91,34.9,35,34.8,60.08K,0.17%
2023-2-10,34.85,34.89,34.89,34.68,25.36K,-1.44%
2023-2-9,35.36,35.54,35.66,35.29,51.77K,1.61%
2023-2-8,34.8,35.03,35.09,34.75,38.75K,-0.11%
2023-2-7,34.84,34.64,35.01,34.42,91.50K,0.72%
2023-2-6,34.59,34.74,34.87,34.52,1090K,-1.09%
2023-2-3,34.97,35.22,35.42,34.92,178.60K,-1.52%
2023-2-2,35.51,35.49,35.9,35.26,149.18K,1.31%
2023-2-1,35.05,34.09,35.15,34.09,71.14K,3.55%
2023-1-31,33.85,33.44,33.85,33.37,32.62K,2.61%
2023-1-30,32.99,33.24,33.31,32.99,34.93K,-1.90%
2023-1-27,33.63,33.51,33.75,33.5,41.84K,-0.06%
2023-1-26,33.65,33.5,33.65,33.36,36.87K,0.57%
2023-1-25,33.46,33.16,33.51,33.14,50.85K,0.63%
2023-1-24,33.25,32.95,33.41,32.81,44.91K,0.09%
2023-1-23,33.22,32.83,33.28,32.81,104.01K,1.62%
2023-1-20,32.69,32.39,32.69,32.25,97.64K,0.12%
2023-1-19,32.65,32.46,32.7,32.38,71.45K,-0.55%
2023-1-18,32.83,33.25,33.3,32.73,71.78K,-0.79%
